Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
09-09-2020,UPL,EQ,487,482,498.4,467.05,493.45,494.55,481.56,6078537,2.9272E+14,104631,1521823,0.2504
10-09-2020,UPL,EQ,494.55,497.9,497.9,485,491,491,489.28,4004655,1.95939E+14,63914,1492907,0.3728
11-09-2020,UPL,EQ,491,492.6,501,488.1,497.4,499,495.16,3410700,1.68886E+14,58884,769686,0.2257
14-09-2020,UPL,EQ,499,507.95,519.8,502,517,515.9,512.45,5861925,3.00395E+14,78829,1102313,0.188
15-09-2020,UPL,EQ,515.9,518.25,532.25,516.05,530.1,529.7,526.29,6222427,3.27483E+14,82174,1218657,0.1958
16-09-2020,UPL,EQ,529.7,530.05,533.25,521.95,527,528.5,526.9,3961768,2.08745E+14,59337,1619529,0.4088
17-09-2020,UPL,EQ,528.5,524.95,537,520.3,529.25,530.55,530.07,4036648,2.1397E+14,65074,860868,0.2133
18-09-2020,UPL,EQ,530.55,530.9,540,529.05,538.25,537.3,535.38,3868205,2.07096E+14,67659,1711417,0.4424
21-09-2020,UPL,EQ,537.3,537,546.5,521.85,530.6,532.2,537.1,4907579,2.63587E+14,65352,1425683,0.2905
22-09-2020,UPL,EQ,532.2,532.2,537.9,512.35,527.8,529.15,524.83,4623271,2.42645E+14,66486,1285610,0.2781
23-09-2020,UPL,EQ,529.15,530,534.9,519.85,531.9,532.4,528.39,3647987,1.92756E+14,56406,1405298,0.3852
24-09-2020,UPL,EQ,532.4,525.45,525.45,502.2,505.5,505.15,515.86,4119459,2.12505E+14,53518,1683723,0.4087
25-09-2020,UPL,EQ,505.15,508.95,513.8,500.75,502.2,504.65,506.98,4858021,2.46292E+14,57581,1627551,0.335
28-09-2020,UPL,EQ,504.65,506.4,517.75,506,508.2,509.8,512.12,3786838,1.93933E+14,42599,1308425,0.3455
29-09-2020,UPL,EQ,509.8,514.5,514.5,490.6,492,493.1,499.77,5023517,2.5106E+14,67756,1783595,0.355
30-09-2020,UPL,EQ,493.1,494,506,491.55,501.25,502.9,500.76,4501377,2.25413E+14,67152,654660,0.1454
01-10-2020,UPL,EQ,502.9,508,512.7,503.3,507,505.65,508.99,2462815,1.25354E+14,38018,469311,0.1906
05-10-2020,UPL,EQ,505.65,509.5,510.15,502.1,506,507.1,507,2533261,1.28436E+14,40561,716211,0.2827
06-10-2020,UPL,EQ,507.1,511.45,519,508.25,509.3,509.55,514.13,3662272,1.8829E+14,63008,649454,0.1773
07-10-2020,UPL,EQ,509.55,511.45,524.9,507.4,511,510.85,516.81,4997523,2.58277E+14,71416,940481,0.1882
08-10-2020,UPL,EQ,510.85,513.95,519.85,506.5,510,509.4,513.36,2814294,1.44474E+14,51145,782307,0.278
09-10-2020,UPL,EQ,509.4,510.4,513.2,495.9,497.45,497.3,501.43,3712048,1.86133E+14,59941,1171338,0.3156
12-10-2020,UPL,EQ,497.3,499.9,508.3,493.15,507,507.1,502.02,3332484,1.67297E+14,55978,992917,0.298
13-10-2020,UPL,EQ,507.1,507.8,515.55,504.1,504.45,506.5,509.86,3992135,2.03544E+14,49822,1034408,0.2591
14-10-2020,UPL,EQ,506.5,501.35,513,495.3,511,510.9,503.34,3424315,1.72361E+14,48153,710240,0.2074
15-10-2020,UPL,EQ,510.9,510,520,502.9,505,506.55,515.11,4927087,2.53797E+14,66081,1212846,0.2462
16-10-2020,UPL,EQ,506.55,490,490,458.25,467.75,466.95,472.59,22982753,1.08615E+15,314245,5333473,0.2321
19-10-2020,UPL,EQ,466.95,474.8,474.8,447.5,464,463.45,460.67,13196083,6.07908E+14,157061,3237966,0.2454
20-10-2020,UPL,EQ,463.45,464,467.7,453.95,454.9,455.95,460.04,7255239,3.33772E+14,99236,3090381,0.426
21-10-2020,UPL,EQ,455.95,459.9,463.5,446.75,453.05,454.2,455.44,6312709,2.87508E+14,70350,1875782,0.2971
22-10-2020,UPL,EQ,454.2,452.8,458.2,450.2,454.75,454.5,454.02,4495486,2.04105E+14,87654,1716325,0.3818
23-10-2020,UPL,EQ,454.5,458.5,458.5,450,450.8,450.95,453.28,3682129,1.66903E+14,54608,1828485,0.4966
26-10-2020,UPL,EQ,450.95,454.95,454.95,431.5,432.05,433.4,439.63,6280314,2.76099E+14,112176,2319582,0.3693
27-10-2020,UPL,EQ,433.4,435,441.4,429.35,439.25,438.55,436.8,4881972,2.13243E+14,101734,1496659,0.3066
28-10-2020,UPL,EQ,438.55,440.35,454.5,437.5,450.5,450.75,448.22,7235748,3.24318E+14,96540,1460266,0.2018
29-10-2020,UPL,EQ,450.75,447.4,455.6,444.25,452.5,450.25,450.89,4598075,2.07324E+14,85647,846855,0.1842
30-10-2020,UPL,EQ,450.25,451.9,457.5,446.45,453,453.25,452.45,3684252,1.66693E+14,48988,746492,0.2026
02-11-2020,UPL,EQ,453.25,465,465,431.65,444.25,445.35,446.94,10356782,4.62885E+14,131264,1672429,0.1615
03-11-2020,UPL,EQ,445.35,444.4,449.5,414,415.95,417.05,423.88,16512536,6.99938E+14,230764,4140572,0.2508
04-11-2020,UPL,EQ,417.05,415.7,415.7,399,400.8,401.35,404.16,19363947,7.82621E+14,223143,6844481,0.3535
05-11-2020,UPL,EQ,401.35,407.95,419.6,405.15,418.5,418.4,414.52,11470585,4.75474E+14,128528,2770454,0.2415
06-11-2020,UPL,EQ,418.4,421.45,428,417.8,423.1,422.4,423.13,7614066,3.22171E+14,93520,2251274,0.2957
09-11-2020,UPL,EQ,422.4,426.6,431,424.15,426.6,426.75,426.97,4271081,1.82364E+14,57349,1387952,0.325
10-11-2020,UPL,EQ,426.75,430.1,438.5,426.55,433.3,432.8,433.22,6424909,2.7834E+14,97160,3143373,0.4892
11-11-2020,UPL,EQ,432.8,429,442.95,429,436.5,435.7,438.01,7504886,3.28723E+14,85611,2667524,0.3554
12-11-2020,UPL,EQ,435.7,436.8,437.8,425.1,429.9,429.6,430.82,5511536,2.37449E+14,66069,2422989,0.4396
13-11-2020,UPL,EQ,429.6,429,431.1,423,425,425.35,426.46,4644051,1.98052E+14,61098,1524368,0.3282
14-11-2020,UPL,EQ,425.35,431.15,431.15,428,429,429.25,429.43,643619,2.76391E+13,12430,272878,0.424
17-11-2020,UPL,EQ,429.25,431.4,434.5,428.25,429.5,429.65,431.81,5929010,2.56018E+14,110274,3867021,0.6522
18-11-2020,UPL,EQ,429.65,430,430,424.05,425.75,426.3,425.99,4415523,1.88099E+14,64613,2628986,0.5954
19-11-2020,UPL,EQ,426.3,425.9,425.9,415.05,416,416.5,419.34,6331928,2.65526E+14,104790,2257168,0.3565
