Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
27-11-2019,HDFCBANK,EQ,1275.05,1276,1285.75,1271.2,1278.6,1278.4,1277.74,4790333,6.12078E+14,123094,3146643,0.6569
28-11-2019,HDFCBANK,EQ,1278.4,1280.2,1283.05,1262,1267.75,1265.3,1269.05,6183020,7.84657E+14,126121,3861436,0.6245
29-11-2019,HDFCBANK,EQ,1265.3,1267.7,1279.9,1252,1275,1274.95,1267.91,7783813,9.86921E+14,179493,4492258,0.5771
02-12-2019,HDFCBANK,EQ,1274.95,1273.95,1273.95,1258.6,1262.55,1265.75,1265,4473102,5.65847E+14,140206,2821604,0.6308
03-12-2019,HDFCBANK,EQ,1265.75,1268.2,1269,1253.8,1255.1,1255.4,1257.55,3495953,4.39632E+14,145022,2455214,0.7023
04-12-2019,HDFCBANK,EQ,1255.4,1252.5,1256.9,1234.2,1251.65,1251.65,1244.89,5697807,7.09316E+14,160001,3431195,0.6022
05-12-2019,HDFCBANK,EQ,1251.65,1255.6,1258.75,1240.75,1244.9,1245.6,1249.82,6386247,7.98167E+14,135982,2989674,0.4681
06-12-2019,HDFCBANK,EQ,1245.6,1248.95,1260,1238.2,1245.4,1246.05,1250.9,6887325,8.61537E+14,148575,4626402,0.6717
09-12-2019,HDFCBANK,EQ,1246.05,1249.5,1249.85,1237.55,1243.5,1242.95,1242.41,4132675,5.13447E+14,91238,2690691,0.6511
10-12-2019,HDFCBANK,EQ,1242.95,1251,1253.65,1245.1,1250.1,1249.5,1249.14,4894450,6.11386E+14,137774,3433356,0.7015
11-12-2019,HDFCBANK,EQ,1249.5,1250.1,1254,1242.5,1250.55,1248.75,1248.04,5527321,6.89834E+14,160384,4132402,0.7476
12-12-2019,HDFCBANK,EQ,1248.75,1253,1269.45,1253,1265.8,1263.6,1261.92,6456574,8.1477E+14,142217,4174002,0.6465
13-12-2019,HDFCBANK,EQ,1263.6,1265,1272.35,1259.25,1263.1,1263.85,1266.95,5887593,7.45926E+14,104179,4094699,0.6955
16-12-2019,HDFCBANK,EQ,1263.85,1269.25,1270,1248.2,1258.7,1257.35,1256.17,5663788,7.11468E+14,246978,3778135,0.6671
17-12-2019,HDFCBANK,EQ,1257.35,1260,1274.8,1255.35,1271.75,1271.1,1267.95,6213677,7.87864E+14,169567,4315153,0.6945
18-12-2019,HDFCBANK,EQ,1271.1,1283,1299,1273.65,1292.7,1292.35,1287.03,8723586,1.12275E+15,201690,5314964,0.6093
19-12-2019,HDFCBANK,EQ,1292.35,1305,1305.5,1286.1,1288.5,1288.8,1296.05,6509188,8.43621E+14,151485,3523544,0.5413
20-12-2019,HDFCBANK,EQ,1288.8,1288.75,1299.6,1280.05,1296.45,1296.7,1292.36,7513022,9.70949E+14,141458,5167224,0.6878
23-12-2019,HDFCBANK,EQ,1296.7,1299,1304,1288.8,1301.5,1302.4,1298.01,5097891,6.6171E+14,126370,3173217,0.6225
24-12-2019,HDFCBANK,EQ,1302.4,1298.6,1301.1,1286.95,1290,1289.15,1293.83,3589604,4.64434E+14,91053,2207659,0.615
26-12-2019,HDFCBANK,EQ,1289.15,1289.7,1291.85,1264.65,1269.85,1270.45,1274.91,7474879,9.52978E+14,126918,4019243,0.5377
27-12-2019,HDFCBANK,EQ,1270.45,1272,1279,1270,1275.75,1275,1275.3,3546496,4.52286E+14,104711,2510820,0.708
30-12-2019,HDFCBANK,EQ,1275,1282,1288.75,1274.05,1284.9,1282.15,1282.1,4667095,5.9837E+14,116012,2945151,0.631
31-12-2019,HDFCBANK,EQ,1282.15,1281.95,1281.95,1268.65,1275.5,1272.1,1272.87,4178528,5.31872E+14,127264,2666838,0.6382
01-01-2020,HDFCBANK,EQ,1272.1,1276.1,1280,1270.6,1279,1278.6,1276.64,1836849,2.345E+14,46625,809152,0.4405
02-01-2020,HDFCBANK,EQ,1278.6,1279,1288,1279,1286,1286.75,1284.56,3068583,3.94179E+14,104570,1957617,0.638
03-01-2020,HDFCBANK,EQ,1286.75,1282.2,1285,1263.6,1268.5,1268.4,1270.48,5427775,6.89589E+14,157066,3459267,0.6373
06-01-2020,HDFCBANK,EQ,1268.4,1260,1261.8,1236,1240.25,1240.95,1247.24,5445093,6.79135E+14,155007,3647637,0.6699
07-01-2020,HDFCBANK,EQ,1240.95,1258.9,1271.45,1252.25,1261,1260.6,1261.48,7362247,9.2873E+14,189026,3790730,0.5149
08-01-2020,HDFCBANK,EQ,1260.6,1246.95,1262.15,1240.05,1256,1257.3,1253.71,5666055,7.10361E+14,141795,3549321,0.6264
09-01-2020,HDFCBANK,EQ,1257.3,1265,1275.8,1263.1,1271.8,1271.4,1271.27,4773158,6.06797E+14,125829,2650051,0.5552
10-01-2020,HDFCBANK,EQ,1271.4,1284.1,1286.9,1275.1,1281,1282.7,1282.11,4607290,5.90704E+14,123583,2857227,0.6202
13-01-2020,HDFCBANK,EQ,1282.7,1282.7,1296.5,1276,1287,1286,1289.33,3725784,4.80376E+14,107121,2215612,0.5947
14-01-2020,HDFCBANK,EQ,1286,1289,1292.55,1277.5,1288,1289.5,1284.81,3943145,5.0662E+14,91722,2573348,0.6526
15-01-2020,HDFCBANK,EQ,1289.5,1286.4,1287.95,1274.1,1285.05,1284.25,1280.62,5893724,7.54765E+14,105548,3970136,0.6736
16-01-2020,HDFCBANK,EQ,1284.25,1282.05,1291,1279.35,1287.5,1287.65,1285.32,3575200,4.59527E+14,93131,2251808,0.6298
17-01-2020,HDFCBANK,EQ,1287.65,1281.75,1284.9,1271.9,1277.4,1278.15,1277.38,8459407,1.08059E+15,136379,6692529,0.7911
20-01-2020,HDFCBANK,EQ,1278.15,1304.85,1304.85,1252.5,1257.35,1254.9,1265,11089225,1.40278E+15,245672,5796841,0.5227
21-01-2020,HDFCBANK,EQ,1254.9,1250,1250,1238.4,1244.9,1244.35,1244.14,7492402,9.32162E+14,216589,4587266,0.6123
22-01-2020,HDFCBANK,EQ,1244.35,1248.05,1255,1234.4,1241.85,1240.85,1243.37,9184155,1.14193E+15,146555,6562205,0.7145
23-01-2020,HDFCBANK,EQ,1240.85,1240,1246.85,1231,1245.35,1244.85,1240.93,5754460,7.14091E+14,176401,3535947,0.6145
24-01-2020,HDFCBANK,EQ,1244.85,1246,1254,1239.1,1245.8,1244.55,1247.28,5915878,7.37877E+14,138884,3935384,0.6652
27-01-2020,HDFCBANK,EQ,1244.55,1235,1235,1211.75,1213.5,1213.2,1220.97,9444276,1.15312E+15,268331,6145074,0.6507
28-01-2020,HDFCBANK,EQ,1213.2,1218.8,1227.8,1213.25,1223.1,1223.2,1221.37,6706079,8.1906E+14,219199,3712912,0.5537
29-01-2020,HDFCBANK,EQ,1223.2,1225.3,1242,1222.25,1235.8,1235.85,1235.01,6894175,8.51437E+14,155174,4588335,0.6655
30-01-2020,HDFCBANK,EQ,1235.85,1238.95,1238.95,1217.2,1227.9,1226.05,1224.75,6055992,7.41709E+14,195593,3937675,0.6502
31-01-2020,HDFCBANK,EQ,1226.05,1231.45,1237.8,1220.25,1224.25,1226.3,1230.24,5589134,6.876E+14,169641,3563738,0.6376
01-02-2020,HDFCBANK,EQ,1226.3,1220,1227.7,1191.35,1192.5,1198.7,1210.2,4913643,5.94647E+14,132683,2536143,0.5161
03-02-2020,HDFCBANK,EQ,1198.7,1197,1197.95,1177.7,1194,1192.8,1188.67,6538505,7.7721E+14,251382,4024345,0.6155
04-02-2020,HDFCBANK,EQ,1192.8,1198,1234,1198,1229,1229.8,1222,10448852,1.27685E+15,173447,6900844,0.6604
05-02-2020,HDFCBANK,EQ,1229.8,1234.9,1248,1227.3,1246,1244.65,1237.42,9010341,1.11496E+15,150882,6955471,0.7719
06-02-2020,HDFCBANK,EQ,1244.65,1244.65,1248.7,1237.2,1239.95,1239.8,1242.01,5913775,7.34498E+14,126190,3640808,0.6156
07-02-2020,HDFCBANK,EQ,1239.8,1246,1247,1231.6,1240,1242.2,1238.21,3407724,4.21949E+14,81299,2193596,0.6437
10-02-2020,HDFCBANK,EQ,1242.2,1242.95,1242.95,1226.05,1240.95,1240.3,1235.68,4609917,5.69639E+14,105140,3208623,0.696
11-02-2020,HDFCBANK,EQ,1240.3,1243.3,1255,1238.05,1239.9,1240.6,1246.8,5806760,7.23987E+14,98063,3770138,0.6493
12-02-2020,HDFCBANK,EQ,1240.6,1245.2,1252.9,1244.05,1249,1249,1249.42,3148965,3.93438E+14,87413,2114375,0.6715
13-02-2020,HDFCBANK,EQ,1249,1259.9,1259.9,1233.6,1239.5,1241.4,1241.95,4556070,5.65843E+14,97099,2850913,0.6257
14-02-2020,HDFCBANK,EQ,1241.4,1243.2,1248.4,1215,1219.45,1219.35,1227.78,7344429,9.01736E+14,167779,4783189,0.6513
17-02-2020,HDFCBANK,EQ,1219.35,1225,1233,1214.45,1218,1217.15,1221.46,5076345,6.20054E+14,157333,3075780,0.6059
18-02-2020,HDFCBANK,EQ,1217.15,1216.9,1218.5,1203.5,1217.05,1213.25,1209.57,5264558,6.36787E+14,119172,3704300,0.7036
19-02-2020,HDFCBANK,EQ,1213.25,1222.5,1230,1213.9,1227.2,1227.2,1221.68,5006134,6.11591E+14,101692,3444477,0.6881
20-02-2020,HDFCBANK,EQ,1227.2,1230,1230,1214.1,1217,1217.1,1221.38,5561707,6.79297E+14,146273,3240543,0.5827
24-02-2020,HDFCBANK,EQ,1217.1,1208.95,1214.75,1200,1210.25,1209.95,1205.66,8284042,9.98775E+14,199969,6242053,0.7535
25-02-2020,HDFCBANK,EQ,1209.95,1204,1209,1198,1201.8,1200.3,1201.07,6943340,8.33946E+14,193249,5185085,0.7468
26-02-2020,HDFCBANK,EQ,1200.3,1197.5,1204.7,1185.65,1201.1,1199.25,1195.09,6907393,8.25496E+14,191519,4691104,0.6791
27-02-2020,HDFCBANK,EQ,1199.25,1195,1202.5,1181,1199.65,1199.45,1191.25,10327549,1.23027E+15,241038,6138007,0.5943
28-02-2020,HDFCBANK,EQ,1199.45,1175.5,1185,1170.1,1178.8,1177.65,1176.25,12156528,1.42992E+15,276737,8662385,0.7126
02-03-2020,HDFCBANK,EQ,1177.65,1200.2,1201.15,1166.15,1185,1179.6,1184.61,7332449,8.68608E+14,197905,4540186,0.6192
03-03-2020,HDFCBANK,EQ,1179.6,1175,1185.35,1168,1182.5,1181.8,1178.14,11184775,1.31772E+15,233028,7497411,0.6703
04-03-2020,HDFCBANK,EQ,1181.8,1178.35,1180,1133.1,1149.15,1148.85,1152.73,17144435,1.97628E+15,503032,11834147,0.6903
05-03-2020,HDFCBANK,EQ,1148.85,1153,1165,1142.75,1149,1151.35,1155.77,9774854,1.12975E+15,262470,5681138,0.5812
06-03-2020,HDFCBANK,EQ,1151.35,1125,1140.9,1101,1134,1134.9,1124.34,11526783,1.296E+15,272373,6744175,0.5851
